mOTU,K00024,K00169,K00170,K00171,K00172,K00239,K00240,K00241,K00626,K01007,K01595,K01677,K01678,K01902,K01903,K14465,K14467,K14534,K15016,K15038,nb_bins,mean_bin_completion,highest_bin_completion
COMPLETE-SET-AND-BULK_mOTU_452,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.8,0.2,0.0,1.0,1.0,0.0,0.0,0.8,1.0,0.0,1.0,0.8,5,75.21126760563382,95.77464788732394
COMPLETE-SET-AND-BULK_mOTU_453,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.5,0.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,2,72.53521126760563,95.77464788732394
COMPLETE-SET-AND-BULK_mOTU_483,0.25,0.25,0.25,0.75,0.25,0.5,0.25,0.75,0.25,0.25,0.0,0.0,0.25,0.25,0.5,0.5,0.25,0.0,0.75,0.5,4,40.14085007042254,88.73239436619718
COMPLETE-SET-AND-BULK_mOTU_487,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1,100.0,100.0
COMPLETE-SET-AND-BULK_mOTU_499,0.2,0.0,0.0,0.2,0.0,0.2,0.0,0.0,0.2,0.0,0.0,0.2,0.2,0.0,0.0,0.4,0.2,0.0,0.2,0.2,5,23.943667971830983,98.59154929577464
COMPLETE-SET-AND-BULK_mOTU_519,0.3333333333333333,0.0,0.0,0.4166666666666667,0.0,0.4166666666666667,0.0,0.0,0.16666666666666666,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.4166666666666667,0.4166666666666667,0.0,0.4166666666666667,0.3333333333333333,12,55.516433591549294,94.3661971830986
COMPLETE-SET-AND-BULK_mOTU_627,0.0,0.0,0.0,0.06,0.0,0.04,0.02,0.06,0.1,0.06,0.02,0.0,0.0,0.04,0.08,0.0,0.22,0.0,0.08,0.08,50,33.21127380563379,100.0
COMPLETE-SET-AND-BULK_mOTU_710,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.8333333333333334,0.8333333333333334,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,6,72.53521293427228,98.59154929577464
COMPLETE-SET-AND-BULK_mOTU_723,0.14285714285714285,0.0,0.0,0.14285714285714285,0.0,0.14285714285714285,0.0,0.8571428571428571,0.8571428571428571,0.0,0.0,0.14285714285714285,0.14285714285714285,0.2857142857142857,0.14285714285714285,0.14285714285714285,0.8571428571428571,0.0,0.8571428571428571,0.14285714285714285,7,75.85513221327967,100.0
COMPLETE-SET-AND-BULK_mOTU_740,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,2,93.6619718309859,95.77464788732394
COMPLETE-SET-AND-BULK_mOTU_758,0.08,0.04,0.0,0.04,0.04,0.28,0.04,0.32,0.56,0.04,0.04,0.04,0.04,0.04,0.04,0.08,0.2,0.04,0.56,0.24,25,50.87324383661971,100.0
COMPLETE-SET-AND-BULK_mOTU_788,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,1.0,1.0,0.0,1.0,1.0,3,93.89671361502347,100.0
COMPLETE-SET-AND-BULK_mOTU_795,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1,92.95774647887325,92.95774647887325
COMPLETE-SET-AND-BULK_mOTU_798,0.75,0.875,0.0,0.0,0.0,0.0,0.0,0.125,0.875,0.75,0.0,0.0,0.0,0.0,0.875,0.875,1.0,0.875,0.875,0.0,8,81.33802941901408,95.77464788732394
COMPLETE-SET-AND-BULK_mOTU_834,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1,98.59154929577464,98.59154929577464
COMPLETE-SET-AND-BULK_mOTU_840,0.8333333333333334,0.16666666666666666,0.16666666666666666,0.8333333333333334,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.8333333333333334,0.3333333333333333,0.8333333333333334,0.16666666666666666,0.6666666666666666,0.6666666666666666,0.16666666666666666,0.6666666666666666,0.8333333333333334,1.0,0.16666666666666666,0.8333333333333334,0.8333333333333334,6,80.51643359154929,100.0
COMPLETE-SET-AND-BULK_mOTU_854,0.0,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,3,23.474185070422536,70.4225352112676
COMPLETE-SET-AND-BULK_mOTU_866,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.5,2,73.2394366197183,78.8732394366197
COMPLETE-SET-AND-BULK_mOTU_867,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,2,78.16901408450705,94.3661971830986
COMPLETE-SET-AND-BULK_mOTU_876,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1,92.95774647887325,92.95774647887325
COMPLETE-SET-AND-BULK_mOTU_908,0.3333333333333333,0.0,0.0,0.6666666666666666,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.0,0.6666666666666666,0.6666666666666666,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.6666666666666666,0.6666666666666666,3,33.33334,100.0
