mOTU,K00626,K01848,K01849,K01964,K05606,K14465,K14466,K14534,K15016,K15018,K15019,K15020,K15036,K15037,K15038,K15039
COMPLETE-SET-AND-BULK_mOTU_508,1,7,8,0,4,8,0,0,8,0,11,7,6,0,6,1
COMPLETE-SET-AND-BULK_mOTU_512,10,7,10,0,12,9,0,9,9,0,12,10,8,0,0,0
COMPLETE-SET-AND-BULK_mOTU_535,2,4,4,0,4,3,0,0,4,0,4,3,1,0,2,0
COMPLETE-SET-AND-BULK_mOTU_538,3,2,2,0,3,3,0,3,2,0,3,3,1,0,3,3
COMPLETE-SET-AND-BULK_mOTU_542,1,1,1,0,1,1,1,1,1,0,1,1,1,0,1,0
COMPLETE-SET-AND-BULK_mOTU_551,1,1,1,0,1,1,0,0,1,0,1,1,1,0,1,0
COMPLETE-SET-AND-BULK_mOTU_556,1,0,0,0,1,1,0,0,1,0,1,1,0,1,1,1
COMPLETE-SET-AND-BULK_mOTU_606,0,0,1,4,2,0,0,0,1,0,2,5,0,4,1,0
COMPLETE-SET-AND-BULK_mOTU_610,2,2,2,0,2,2,0,0,1,0,2,2,1,0,1,0
COMPLETE-SET-AND-BULK_mOTU_624,2,2,2,0,2,2,2,0,2,0,2,2,2,0,2,0
COMPLETE-SET-AND-BULK_mOTU_627,5,1,1,0,2,0,0,0,4,0,4,2,0,0,4,2
COMPLETE-SET-AND-BULK_mOTU_644,0,1,1,1,1,1,0,1,1,0,1,1,1,0,1,0
COMPLETE-SET-AND-BULK_mOTU_653,3,0,0,0,3,3,1,3,3,0,3,3,3,0,0,0
COMPLETE-SET-AND-BULK_mOTU_656,1,0,1,0,1,1,1,0,3,0,5,2,0,0,3,0
COMPLETE-SET-AND-BULK_mOTU_668,1,1,1,0,1,1,0,0,1,0,1,1,1,0,1,0
COMPLETE-SET-AND-BULK_mOTU_669,5,0,6,0,6,3,0,0,5,0,6,6,0,0,4,6
COMPLETE-SET-AND-BULK_mOTU_673,1,1,1,0,1,1,0,1,1,0,1,1,1,0,1,0
COMPLETE-SET-AND-BULK_mOTU_686,1,1,0,0,1,1,1,1,0,1,1,1,1,1,1,0
COMPLETE-SET-AND-BULK_mOTU_710,0,0,0,0,3,0,0,0,0,0,1,1,0,0,0,0
COMPLETE-SET-AND-BULK_mOTU_717,2,2,2,2,2,2,0,0,2,0,2,2,2,0,2,0
COMPLETE-SET-AND-BULK_mOTU_719,0,1,1,0,1,2,0,0,2,0,2,2,1,0,2,2
COMPLETE-SET-AND-BULK_mOTU_723,6,6,6,1,6,1,0,0,6,0,6,6,6,1,1,0
COMPLETE-SET-AND-BULK_mOTU_724,1,1,1,0,1,1,1,1,1,0,1,1,1,0,1,0
COMPLETE-SET-AND-BULK_mOTU_732,0,2,2,0,3,3,0,3,3,0,3,3,3,0,3,0
COMPLETE-SET-AND-BULK_mOTU_733,4,3,0,0,4,4,4,4,0,0,4,4,0,3,3,0
COMPLETE-SET-AND-BULK_mOTU_735,2,2,2,2,2,2,0,0,2,0,2,2,0,0,2,0
COMPLETE-SET-AND-BULK_mOTU_738,1,1,1,1,1,1,0,0,1,0,1,1,1,0,1,0
COMPLETE-SET-AND-BULK_mOTU_741,2,1,1,0,2,1,1,1,0,0,2,2,0,2,2,0
COMPLETE-SET-AND-BULK_mOTU_758,14,12,12,13,14,2,0,1,14,0,14,14,12,3,6,1
COMPLETE-SET-AND-BULK_mOTU_761,1,0,0,0,2,1,0,1,2,0,2,1,0,0,1,2
COMPLETE-SET-AND-BULK_mOTU_770,12,12,13,11,15,15,0,0,11,0,16,12,13,2,3,0
COMPLETE-SET-AND-BULK_mOTU_779,1,1,1,0,1,1,0,1,1,0,1,1,1,0,1,0
COMPLETE-SET-AND-BULK_mOTU_782,2,0,2,0,2,2,2,0,2,0,2,2,0,2,2,0
COMPLETE-SET-AND-BULK_mOTU_784,1,1,1,0,1,1,0,0,1,0,1,1,0,0,1,1
COMPLETE-SET-AND-BULK_mOTU_788,1,3,3,0,3,3,1,0,3,0,3,3,3,1,3,3
COMPLETE-SET-AND-BULK_mOTU_795,1,1,1,0,1,1,0,0,1,0,1,1,0,0,1,1
COMPLETE-SET-AND-BULK_mOTU_798,7,0,4,0,7,7,0,7,7,0,7,7,4,0,0,1
COMPLETE-SET-AND-BULK_mOTU_809,1,1,1,0,0,1,1,0,1,0,1,1,1,0,1,0
COMPLETE-SET-AND-BULK_mOTU_815,2,1,2,0,2,2,0,0,2,0,2,1,2,0,2,0
COMPLETE-SET-AND-BULK_mOTU_816,3,3,3,0,3,3,3,0,3,0,3,3,3,0,3,0
COMPLETE-SET-AND-BULK_mOTU_834,1,1,1,0,1,1,1,0,1,0,1,1,1,0,1,0
COMPLETE-SET-AND-BULK_mOTU_835,1,11,13,0,8,11,0,0,13,0,13,13,13,0,3,0
COMPLETE-SET-AND-BULK_mOTU_840,2,5,0,5,5,5,0,1,5,0,5,5,5,3,5,3
COMPLETE-SET-AND-BULK_mOTU_867,2,2,2,0,2,2,0,0,2,0,2,2,0,0,2,2
COMPLETE-SET-AND-BULK_mOTU_875,2,0,2,0,2,1,0,1,2,0,2,2,0,0,2,2
COMPLETE-SET-AND-BULK_mOTU_882,1,1,1,1,1,1,0,0,1,0,1,1,1,0,1,0
COMPLETE-SET-AND-BULK_mOTU_891,1,1,1,0,2,1,0,2,2,0,2,2,1,2,0,0
COMPLETE-SET-AND-BULK_mOTU_902,4,4,5,1,5,5,0,1,4,0,5,4,4,0,2,0
