,mOTU
COMPLETE-SET-AND-BULK_mOTU_225,22
COMPLETE-SET-AND-BULK_mOTU_237,22
COMPLETE-SET-AND-BULK_mOTU_247,21
COMPLETE-SET-AND-BULK_mOTU_264,21
COMPLETE-SET-AND-BULK_mOTU_162,21
COMPLETE-SET-AND-BULK_mOTU_248,21
COMPLETE-SET-AND-BULK_mOTU_182,21
COMPLETE-SET-AND-BULK_mOTU_308,21
COMPLETE-SET-AND-BULK_mOTU_216,21
COMPLETE-SET-AND-BULK_mOTU_192,20
COMPLETE-SET-AND-BULK_mOTU_222,20
COMPLETE-SET-AND-BULK_mOTU_391,20
COMPLETE-SET-AND-BULK_mOTU_282,20
COMPLETE-SET-AND-BULK_mOTU_088,20
COMPLETE-SET-AND-BULK_mOTU_541,20
COMPLETE-SET-AND-BULK_mOTU_661,20
COMPLETE-SET-AND-BULK_mOTU_059,20
COMPLETE-SET-AND-BULK_mOTU_197,19
COMPLETE-SET-AND-BULK_mOTU_120,19
COMPLETE-SET-AND-BULK_mOTU_212,19
COMPLETE-SET-AND-BULK_mOTU_349,19
COMPLETE-SET-AND-BULK_mOTU_157,19
COMPLETE-SET-AND-BULK_mOTU_054,19
COMPLETE-SET-AND-BULK_mOTU_221,19
COMPLETE-SET-AND-BULK_mOTU_239,19
COMPLETE-SET-AND-BULK_mOTU_210,19
COMPLETE-SET-AND-BULK_mOTU_704,19
COMPLETE-SET-AND-BULK_mOTU_552,19
COMPLETE-SET-AND-BULK_mOTU_491,18
COMPLETE-SET-AND-BULK_mOTU_406,18
COMPLETE-SET-AND-BULK_mOTU_147,18
COMPLETE-SET-AND-BULK_mOTU_284,18
COMPLETE-SET-AND-BULK_mOTU_018,18
COMPLETE-SET-AND-BULK_mOTU_107,18
COMPLETE-SET-AND-BULK_mOTU_687,18
COMPLETE-SET-AND-BULK_mOTU_531,18
COMPLETE-SET-AND-BULK_mOTU_004,18
COMPLETE-SET-AND-BULK_mOTU_304,18
COMPLETE-SET-AND-BULK_mOTU_240,18
COMPLETE-SET-AND-BULK_mOTU_189,18
COMPLETE-SET-AND-BULK_mOTU_888,18
COMPLETE-SET-AND-BULK_mOTU_642,17
COMPLETE-SET-AND-BULK_mOTU_101,17
COMPLETE-SET-AND-BULK_mOTU_106,17
COMPLETE-SET-AND-BULK_mOTU_431,17
COMPLETE-SET-AND-BULK_mOTU_364,17
COMPLETE-SET-AND-BULK_mOTU_664,17
COMPLETE-SET-AND-BULK_mOTU_516,17
COMPLETE-SET-AND-BULK_mOTU_903,17
COMPLETE-SET-AND-BULK_mOTU_245,17
COMPLETE-SET-AND-BULK_mOTU_394,16
COMPLETE-SET-AND-BULK_mOTU_077,16
COMPLETE-SET-AND-BULK_mOTU_227,16
COMPLETE-SET-AND-BULK_mOTU_112,16
COMPLETE-SET-AND-BULK_mOTU_343,16
COMPLETE-SET-AND-BULK_mOTU_660,16
COMPLETE-SET-AND-BULK_mOTU_081,15
COMPLETE-SET-AND-BULK_mOTU_137,15
COMPLETE-SET-AND-BULK_mOTU_108,15
COMPLETE-SET-AND-BULK_mOTU_327,15
COMPLETE-SET-AND-BULK_mOTU_342,15
COMPLETE-SET-AND-BULK_mOTU_617,15
COMPLETE-SET-AND-BULK_mOTU_667,14
COMPLETE-SET-AND-BULK_mOTU_117,14
COMPLETE-SET-AND-BULK_mOTU_231,14
COMPLETE-SET-AND-BULK_mOTU_151,14
COMPLETE-SET-AND-BULK_mOTU_473,14
COMPLETE-SET-AND-BULK_mOTU_421,14
COMPLETE-SET-AND-BULK_mOTU_539,14
COMPLETE-SET-AND-BULK_mOTU_408,14
COMPLETE-SET-AND-BULK_mOTU_068,14
COMPLETE-SET-AND-BULK_mOTU_067,14
COMPLETE-SET-AND-BULK_mOTU_002,14
COMPLETE-SET-AND-BULK_mOTU_815,14
COMPLETE-SET-AND-BULK_mOTU_287,14
COMPLETE-SET-AND-BULK_mOTU_323,14
COMPLETE-SET-AND-BULK_mOTU_354,14
COMPLETE-SET-AND-BULK_mOTU_193,13
COMPLETE-SET-AND-BULK_mOTU_835,13
COMPLETE-SET-AND-BULK_mOTU_217,13
COMPLETE-SET-AND-BULK_mOTU_208,13
COMPLETE-SET-AND-BULK_mOTU_367,13
COMPLETE-SET-AND-BULK_mOTU_365,13
COMPLETE-SET-AND-BULK_mOTU_877,13
COMPLETE-SET-AND-BULK_mOTU_123,13
COMPLETE-SET-AND-BULK_mOTU_374,13
COMPLETE-SET-AND-BULK_mOTU_172,13
COMPLETE-SET-AND-BULK_mOTU_731,13
COMPLETE-SET-AND-BULK_mOTU_519,12
COMPLETE-SET-AND-BULK_mOTU_709,12
COMPLETE-SET-AND-BULK_mOTU_016,12
COMPLETE-SET-AND-BULK_mOTU_353,12
COMPLETE-SET-AND-BULK_mOTU_674,12
COMPLETE-SET-AND-BULK_mOTU_677,12
COMPLETE-SET-AND-BULK_mOTU_288,12
COMPLETE-SET-AND-BULK_mOTU_879,12
COMPLETE-SET-AND-BULK_mOTU_472,12
